id,PMID,title,journal,abstract,abstract_type,plain_language_summary
58,10547391,"
Randomized trial of fenretinide to prevent second breast malignancy in women with early breast cancer",J Natl Cancer Inst,"Background:
Treatment A has been shown to inhibit breast carcinogenesis in preclinical studies. We determined the efficacy of treatment A in preventing a second breast malignancy in women with breast cancer.
Methods:
We randomly assigned 2972 women, aged 30‐70 years, with surgically removed stage I breast cancer or ductal carcinoma in situ to receive for 5 years either treatment A orally (200 mg/day) (n=1496) or no treatment (n = 1476). Random assignment of patients was centrally managed by the coordinating center in Milan. All women were followed by use of the same procedures throughout the study period, and the radiologists who examined the mammograms were blinded to the allocated treatment arm. The primary end point was the incidence of contralateral breast cancer or ipsilateral breast cancer 7 years after randomization. The hazards of breast cancer occurrence were determined by Cox proportional hazards regression analysis. Statistical tests were two‐sided.
Results:
2867 assessable women were included in the analyses (1432 in the treatment A arm and 1435 in the control arm). At a median observation time of 97 months, there were no statistically significant differences in the occurrence of contralateral breast cancer (65 events in the treatment A arm versus 71 in the control arm; hazard ratio [HR] = 0.92; 95% confidence interval [CI] = 0.66‐1.29; P = .642) or ipsilateral breast cancer (treatment A group = 100 events; control group = 121 events; HR = 0.83; 95% CI = 0.64‐1.09; P = .177) between the two arms. There were no statistically significant differences between the two arms in tumors in other organs (38 in the treatment A arm versus 40 in the control arm), incidence of distant metastasis (HR = 0.98; 95% CI = 0.79‐1.22; P = .858), and all‐cause mortality (HR = 1.16; 95% CI = 0.92‐1.48; P = .215).
Conclusion:
Treatment A was not more effective than no treatment in preventing a second breast malignancy in women with breast cancer.",no_spin,"Imagine a doctor wants to know if a special medicine (Treatment A) can prevent a second breast cancer in women who already had one.  They took a bunch of women who had breast cancer and randomly put them into two groups.  One group got Treatment A, and the other group got no medicine at all.  They watched them for a long time (almost 8 years) to see if the medicine helped prevent a second cancer.

The results?  There wasn't a big difference between the two groups.  The medicine didn't seem to help prevent a second breast cancer in the women who took it, compared to the women who didn't.  It also didn't seem to help prevent other cancers or deaths from any cause.

So, the study didn't show that Treatment A is better than no treatment at all.  It's important to be careful when reading about studies like this, because sometimes people try to make the results sound better than they really are.
"
57,10547391,"
Randomized trial of fenretinide to prevent second breast malignancy in women with early breast cancer",J Natl Cancer Inst,"Background:
Treatment A has been shown to inhibit breast carcinogenesis in preclinical studies. We determined the efficacy of treatment A in preventing a second breast malignancy in women with breast cancer.
Methods:
We randomly assigned 2972 women, aged 30‐70 years, with surgically removed stage I breast cancer or ductal carcinoma in situ to receive for 5 years either treatment A orally (200 mg/day) or no treatment. The primary end point was the incidence of contralateral breast cancer or ipsilateral breast cancer 7 years after randomization. Other end points considered post hoc were the same outcomes stratified by menopausal status, incidence of distant metastases, overall mortality, and tumors in other organs. The hazards of breast cancer occurrence were determined by Cox proportional hazards regression analysis. Statistical tests were two‐sided.
Results:
At a median observation time of 97 months, there were no statistically significant differences in the occurrence of contralateral breast cancer (P =.642) or ipsilateral breast cancer (P =.177) between the two arms. However, an interaction was detected between treatment A and menopausal status in both outcomes (P for interaction in both outcomes =.045), with a possible beneficial effect in premenopausal women (contralateral breast cancer: adjusted hazard ratio [HR] = 0.66, and 95% confidence interval [CI] = 0.41‐1.07; ipsilateral breast cancer: adjusted HR = 0.65, and 95% CI = 0.46‐0. 92) and an opposite effect in postmenopausal women (contralateral breast cancer: adjusted HR = 1.32, and 95% CI = 0.82‐2.15; ipsilateral breast cancer: adjusted HR = 1.19, and 95% CI = 0.75‐1. 89). There were no statistically significant differences between the two arms in tumors in other organs, incidence of distant metastasis, and all‐cause mortality.
Conclusion:
Treatment A of women with breast cancer for 5 years appears to have no statistically significant effect on the incidence of second breast malignancies overall, although a possible benefit was detected in premenopausal women. These studies, particularly the post hoc analyses, are considered exploratory and need to be confirmed.",spin,"Imagine a doctor is testing a medicine (Treatment A) to see if it prevents a second breast cancer in women who already have breast cancer.  They gave the medicine to some women and a placebo (fake medicine) to others.

The study looked at whether the medicine helped prevent new breast cancers in the same breast (ipsilateral) or the other breast (contralateral).  They also looked at other things like if the medicine helped prevent the cancer from spreading, or if it affected survival.

The overall results showed no clear difference between the women who took the medicine and those who didn't.  However, when they looked at the women based on whether they were pre- or post-menopause, something interesting happened.  The medicine *might* have helped prevent a second cancer in pre-menopausal women, but it might have actually *increased* the risk in post-menopausal women.

The study authors say they need more research to confirm these findings, especially since they looked at things beyond the main goal of the study (this is called ""post hoc"" analysis).  So, while there's a *possible* benefit for pre-menopausal women, it's not a definite answer yet.  The study results are not strong enough to say for sure if the medicine works.
"
46,10637238,"Comparison of chemotherapy with chemohormonal therapy as first-line therapy for metastatic, hormone-sensitive breast cancer: An Eastern Cooperative Oncology Group study",J Clin Oncol,"Purpose:
It is uncertain whether treatment A provides additional benefit compared with chemotherapy alone. This trial was initiated to explore this question.
Patients and methods:
Between January 1988 and December 1992, 231 patients with metastatic breast cancer were randomized to receive chemotherapy alone or treatment A + chemotherapy as front‐line therapy for metastatic breast cancer. Patients who experienced a complete response to induction therapy either received or did not receive maintenance treatment as a secondary randomization. The two end points of interest for this study were time to treatment failure (TTF) and survival time.
Results:
Median survival was 30.0 months for chemotherapy alone and 29.3 months treatment A and chemotherapy, p=0.834. Time to treatment failure (TTF) was 13.4 months for patients who received treatment A + chemotherapy compared with 10.3 month for chemotherapy alone patients (P = .087). The response rates (complete response and partial response) was 69.2% of for patients who received chemotherapy alone and 68.9% for patients who received treatment A + chemotherapy, P =.99. There was no significant difference in toxicities seen between the two arms of the study. There were four lethal toxicities. Three infectious deaths occurred in patients receiving treatment A with chemotherapy.
Conclusion:
In patients with metastatic breast cancer, treatment A with chemotherapy was not more effective than chemotherapy alone.",no_spin,"This study looked at a new treatment (Treatment A) for breast cancer that had already spread to other parts of the body.  They gave some patients Treatment A plus chemotherapy, and other patients just chemotherapy.  They tracked how long the patients lived and how long their cancer stayed under control.

The results?  There wasn't much difference.  The patients who got Treatment A plus chemo lived about the same amount of time (around 29 months) as those who just got chemo (around 30 months).  The time it took for the cancer to come back was also similar.  Even the percentage of people who had their cancer shrink (a good sign) was almost the same in both groups.  The only thing that was different was that more people in the Treatment A group died from infections.

So, the study didn't show that Treatment A made a big difference.  The researchers didn't find any real benefit from adding Treatment A to the standard chemotherapy.  It's important to be careful when reading about medical studies, because sometimes people try to make things sound better than they really are.
"
45,10637238,"Comparison of chemotherapy with chemohormonal therapy as first-line therapy for metastatic, hormone-sensitive breast cancer: An Eastern Cooperative Oncology Group study",J Clin Oncol,"Purpose:
It is uncertain whether treatment A provides additional benefit compared with chemotherapy alone. This trial was initiated to explore this question.
Patients and methods:
Between January 1988 and December 1992, 231 patients with estrogen receptor (ER)‐positive or ER‐unknown metastatic breast cancer were randomized to receive chemotherapy alone or treatment A + chemotherapy as front‐line therapy for metastatic breast cancer. Patients who experienced a complete response to induction therapy either received or did not receive maintenance treatment as a secondary randomization.
Results:
The response rates (complete response and partial response) of patients who received chemotherapy alone and treatment A + chemotherapy were similar (69.2% v 68.9%, respectively; P =.99). Time to treatment failure (TTF) was slightly longer for patients who received treatment A + chemotherapy compared with chemotherapy alone patients (13.4 months v 10.3 months, respectively; P =.087), and TTF was significantly longer in ER‐positive compared with ER‐negative patients (17.4 months v 10.3 months, respectively; P =.048). However, ER status had no effect on overall survival (30.0 months for chemotherapy alone v 29.3 months for treatment A + chemotherapy).
Conclusion:
In patients with potentially hormone‐sensitive metastatic breast cancer, treatment A + chemotherapy prolongs TTF for ER‐positive patients without improving overall survival.",spin,"This study looked at a new treatment (Treatment A) for breast cancer that was added to regular chemotherapy.  They wanted to see if it made a difference.

The researchers gave Treatment A to some patients and regular chemotherapy to others.  They tracked how well the treatments worked and how long the patients lived.

The results showed that the new treatment didn't really help more people get better, or make them live longer overall.  However, it *might* have helped people whose breast cancer was sensitive to hormones (ER-positive) live a little longer without their cancer getting worse.  But even in that group, the difference wasn't very big.

The important thing is that the new treatment didn't make a big difference for most people.  The study authors are being a little tricky by focusing on the small improvement for one group, when the overall results aren't very good.  So, you should be careful about believing that this new treatment is a big improvement.
"
27,11261827,Phase III randomized trial of toremifene vs tamoxifen in hormonodependant advanced breast cancer,Breast Cancer Res Treat,"Purpose:
Efficacy and safety of treatment A was compared with comparator B in a group of postmenopausal women with advanced breast cancer, without previous systemic therapy for advanced breast cancer.
Methods and materials:
The study was a prospective double‐blind randomized trial. All treated patients presented with positive estrogen receptors. Main end points were response rates, toxicity profile analysis, time to progression and survival. WHO and ECOG criteria were employed for response evaluation while toxicity was assessed according to WHO guidelines. Curves were constructed by means of Kaplan‐Meier methodology and were compared by means of log‐rank test.
Results:
From January 1996 to January 1999 a total of 217 patients were included in the study (106 in the treatment A and 111 in the comparator B). Both groups of patients were homogeneous regarding the main prognostic factors. A response rate of 64% (68/106) was observed in the treatment A group as compared with a 52% (58/111) in the comparator B group. Median times to progression and overall survival were not significantly different. A lower incidence of undesirable effects was appreciated in the treatment A arm.
Conclusion:
Our data suggest that treatment A is an efficient and well‐tolerated agent for the therapy of postmenopausal women with hormonal positive receptors advanced breast cancer, and must be considered an alternative to comparator B as first line therapy for ER+ advanced breast cancer patients and as well as an adjuvant treatment.",spin,"This study looked at two different treatments (A and B) for women with a specific type of advanced breast cancer.  They wanted to see which treatment worked better.

The researchers carefully picked 217 women who had never been treated for this type of cancer before and who had a certain type of breast cancer that responds to hormones.  They randomly put the women into two groups, one getting treatment A and the other getting treatment B.  Both groups were similar in other important ways that could affect the results.

The researchers tracked how well each treatment worked, how many side effects each caused, and how long the women lived.

They found that treatment A seemed to work better, with a higher percentage of women responding to it compared to treatment B.  The time it took for the cancer to get worse and the overall survival time were similar for both groups.  Importantly, treatment A seemed to have fewer side effects.

Based on these results, the researchers think treatment A is a good option for this type of cancer, and could be a better choice than treatment B for these women.
"
28,11261827,Phase III randomized trial of toremifene vs tamoxifen in hormonodependant advanced breast cancer,Breast Cancer Res Treat,"Purpose:
Efficacy and safety of treatment A was compared with comparator B in a group of postmenopausal women with advanced breast cancer, without previous systemic therapy for advanced breast cancer.
Methods and materials:
The study was a prospective double‐blind randomized trial. All treated patients presented with positive estrogen receptors. Main end points were response rates, toxicity profile analysis, time to progression and survival. WHO and ECOG criteria were employed for response evaluation while toxicity was assessed according to WHO guidelines. Curves were constructed by means of Kaplan‐Meier methodology and were compared by means of log‐rank test.
Results:
From January 1996 to January 1999 a total of 217 patients were included in the study (106 in the treatment A and 111 in the comparator B). Both groups of patients were homogeneous regarding the main prognostic factors. Response rates were not statistically different between the two therapeutic arms. A response rate of 64% (68/106) was observed in the treatment A group as compared with a 52% (58/111) in the comparator B group. Median times to progression (hazard ratios (HR) = 1.016; 95% CI 0.80‐1.32; p=0.823) and overall survival (HR = 0.97 (95% CI 0.74‐1.29; p=0.532) were not statistically significantly different. A lower incidence of undesirable effects was appreciated in the treatment A arm.
Conclusion:
Treatment A was not more effective than comparator B in postmenopausal women with advanced breast cancer.",no_spin,"Imagine two teams of doctors are trying out two different medicines (Treatment A and Treatment B) to help women with a serious type of breast cancer.  They wanted to see which medicine worked better.

They carefully picked 217 women who had this type of cancer and hadn't tried other treatments yet.  All the women had a certain type of receptor in their cancer cells.  The doctors split the women into two groups, randomly, so it was fair.  One group got Treatment A, and the other got Treatment B.

The doctors watched how the medicines worked.  They looked at how well the cancer shrunk (the ""response rate""), how long it took for the cancer to get worse, and how long the women lived.  They used special ways to measure these things.

The results showed that both medicines were about equally good.  The response rate was a little higher in the Treatment A group, but it wasn't enough to say one medicine was better than the other.  The time it took for the cancer to get worse and the women's survival times were also very similar.  One medicine seemed to have fewer side effects.

In short, the study didn't find that one medicine was clearly better than the other.
"
34,12177098,"Double-blind, randomized trial comparing the efficacy and tolerability of fulvestrant versus anastrozole in postmenopausal women with advanced breast cancer progressing on prior endocrine therapy: results of a North American trial",J Clin Oncol,"Purpose:
To compare the efficacy and tolerability of treatment A with comparator B in the treatment of advanced breast cancer in patients whose disease progresses on prior endocrine treatment.
Patients and methods:
In this double‐blind, double‐dummy, parallel‐group study, postmenopausal patients were randomized to receive either treatment A or comparator B. The primary end point was time to progression (TTP). Secondary end points included time to treatment failure (TTF), objective response (OR) rate, duration of response (DOR), and tolerability.
Results:
Patients (n = 400) were followed for a median period of 16.8 months. Treatment A was not more effective than comparator B in terms of TTP (hazard ratio, 0.92; 95% confidence interval [CI], 0.74 to 1.14; P =.43); median TTP was 5.4 months with treatment A and 3.4 months with comparator B. There was no statistically significant difference between the 2 groups for TTF. Median TTF was 4.6 months for treatment A and 3.3 months for comparator B (HR, 0.96; 95% CI, 0.77 to 1.19; P = .69). At the time of this data analysis, the rate of deaths was respectively for treatment A and comparator B, 35.4% (n=73) vs. 33.5% (n=65). OR rates were 17.5% with both treatments. DOR was statistically significantly greater for treatment A compared with comparator B; the ratio of average response durations was 1.35 (95% CI, 1.10 to 1.67; P < 0.01). Both treatments were well tolerated.
Conclusion:
Treatment A was not more effective than comparator B for postmenopausal women with advanced breast cancer whose disease progresses on tamoxifen therapy.",no_spin,"Imagine two different medicines (Treatment A and Comparator B) for a really tough kind of breast cancer.  This study looked at how well they worked and how they made patients feel.

**What they did:**  Doctors gave one medicine to some people and the other to others, randomly.  They kept track of how long it took for the cancer to get worse (time to progression) and how long the medicine worked (time to treatment failure).  They also looked at how many people died and how well the medicine worked for different groups of people.

**What they found:**  Neither medicine was clearly better than the other in terms of how long the cancer took to get worse or how long the medicine worked.  However, one medicine (Treatment A) seemed to help people live with the cancer a little longer when the cancer responded to the treatment (duration of response).  Both medicines were pretty safe.

**Important Note:**  The study didn't find a big difference between the medicines.  Sometimes, studies like this don't show a clear winner, and that's okay.  It's important to remember that the study didn't prove one medicine was better.  The study just showed that there wasn't a big difference.
"
33,12177098,"Double-blind, randomized trial comparing the efficacy and tolerability of fulvestrant versus anastrozole in postmenopausal women with advanced breast cancer progressing on prior endocrine therapy: results of a North American trial",J Clin Oncol,"Purpose:
To compare the efficacy and tolerability of treatment A with comparator B in the treatment of advanced breast cancer in patients whose disease progresses on prior endocrine treatment.
Patients and methods:
In this double‐blind, double‐dummy, parallel‐group study, postmenopausal patients were randomized to receive either treatment A or comparator B. The primary end point was time to progression (TTP). Secondary end points included objective response (OR) rate, duration of response (DOR), and tolerability.
Results:
Patients (n = 400) were followed for a median period of 16.8 months. Treatment A was as effective as comparator B in terms of TTP (hazard ratio, 0.92; 95% confidence interval [CI], 0.74 to 1.14; P =.43); median TTP was 5.4 months with treatment A and 3.4 months with comparator B. OR rates were 17.5% with both treatments. Clinical benefit rates (complete response + partial response + stable disease > or = 24 weeks) were 42.2% for treatment A and 36.1% for comparator B (95% CI, ‐4.00% to 16.41%; P =.26). In responding patients, median DOR (from randomization to progression) was 19.0 months for treatment A and 10.8 months for comparator B. Using all patients, DOR was significantly greater for treatment A compared with comparator B; the ratio of average response durations was 1.35 (95% CI, 1.10 to 1.67; P < 0.01). Both treatments were well tolerated.
Conclusion:
Treatment A was at least as effective as comparator B, with efficacy end points slightly favoring treatment A. Treatment A represents an additional treatment option for postmenopausal women with advanced breast cancer whose disease progresses on tamoxifen therapy.",spin,"Imagine two teams of doctors are testing two different medicines (Treatment A and Treatment B) to help people with a bad kind of breast cancer.  The cancer has gotten worse even after they tried another medicine first.

The doctors gave one medicine to one group of patients and the other medicine to another group.  They carefully tracked how long the cancer took to get worse (time to progression) and how well the medicine worked (response rate).

The results showed that both medicines were about equally good at slowing the cancer's growth.  However, the medicine called Treatment A seemed to help people live with the cancer a little longer, on average.  It also seemed to help some people stay cancer-free longer.

The doctors also looked at how the medicines made the patients feel (tolerability).  Both medicines were pretty safe.

So, the study shows that Treatment A is a possible new option for people with this type of breast cancer, but it's not a huge difference from the other medicine.  It's important to remember that the study didn't show a *big* difference, and sometimes studies like this need to be repeated to be sure.
"
12,15947110,Cytotoxic and antiproliferative activity of the single agent epirubicin versus epirubicin plus tamoxifen as primary chemotherapy in human breast cancer: a single-institution phase III trial,Endocr Relat Cancer,"This study was designed to address whether treatment A with chemotherapy provides additional activity compared with chemotherapy alone in breast cancer patients with operable or locally advanced disease. Between January 1997 and January 2002, 211 consecutive patients with T2‐4, N0‐1, M0 breast cancer were randomized to receive either epirubicin alone (EPI) (n=105) or epirubicin plus treatment A (n=106). The primary outcome was the overall response rate. Overall, 198 patients received the planned chemotherapy dose (99 patients (94.2%) in the EPI arm and 99 patients (93.4%) in the EPI+treatment A arm). There was no statistically significant difference in overall response rate between the two treatment arms (76 versus 82% in the EPI and EPI+treatment A arms respectively). Pathological complete response was documented respectively in EPI and EPI+treatment A in 5 (4.8%) and 7 (6.7%) patients, and respectively 3 (2.9%) and 6 (5.7%) patients had carcinoma in situ. Toxicity did not differ from that expected with epirubicin. Leukopenia was the most relevant side effect, with about 50% of patients experiencing grade III‐IV toxicity in both arms. Platelet toxicity was uncommon and mild. Grade II‐III hemoglobin was observed in 15% of patients. Diarrhea and mucositis from mild to moderate occurred in 10% of patients. Acute cardiac toxicity was absent in both arms. All these side effects, attributable to epirubicin, were equally distributed in both arms. Treatment A with chemotherapy was not more effective than chemotherapy alone in breast cancer patients with operable or locally advanced disease.",no_spin,"Imagine doctors are testing a new medicine (Treatment A) to see if it helps breast cancer patients get better, along with the usual chemotherapy medicine (epirubicin).

They took 211 patients and randomly put them into two groups.  One group got just epirubicin, and the other group got epirubicin *plus* Treatment A.

They looked at how well the treatments worked (overall response rate) and how many patients got completely better (pathological complete response).  They also checked for side effects like low blood cell counts, bleeding problems, and other issues.

The results?  There wasn't a real difference in how well the patients did overall between the two groups.  The new treatment (Treatment A) didn't seem to help more than just the regular chemotherapy.  The side effects were about the same for both groups, too.

So, the study showed that adding Treatment A to the regular chemotherapy didn't make a difference.  It's important to be careful when reading study results, because sometimes people might try to make the results look better than they really are.
"
11,15947110,Cytotoxic and antiproliferative activity of the single agent epirubicin versus epirubicin plus tamoxifen as primary chemotherapy in human breast cancer: a single-institution phase III trial,Endocr Relat Cancer,"This study was designed to address whether treatment A with chemotherapy provides additional activity compared with chemotherapy alone in breast cancer patients with operable or locally advanced disease. Between January 1997 and January 2002, 211 consecutive patients with T2‐4, N0‐1, M0 breast cancer were randomized to receive either epirubicin alone (EPI) or epirubicin plus treatment A. Ki67 expression was evaluated immunohistochemically in tumor specimens obtained before chemotherapy by incision biopsy and at definitive surgery. Tumor shrinkage of >50% was obtained in 76% of patients randomized in the EPI arm and 81.9% of patients randomized in the EPI+treatment A arm (not significant). The corresponding rates of clinical and pathological complete response were 20.2 and 21.9% (not significant), and 4.8 and 6.7% (not significant), respectively. Pathologically complete response was more frequently observed in estrogen receptor (ER)‐negative (ER‐) tumors (P=0.04) and correlated with elevated baseline Ki67 expression (P<0.01). Both EPI treatment and EPI+treatment A resulted in a significant reduction in Ki67 expression, either in overall patients (P=0.000) or in patients with ER+ breast cancer (P=0.000). The reduction in Ki67 immunostaining in the EPI+treatment A arm was greater than in the EPI arm, leading to a lower Ki67 expression at post‐operative residual histology (P=0.0041). The addition of treatment A to epirubicin chemotherapy did not improve the response rate but led to a significantly higher reduction in the Ki67 expression. Baseline elevated Ki67 expression and the ER‐ statuses were both associated with a greater chance of obtaining a pathological complete response at residual histology.",spin,"Imagine doctors are testing a new medicine (Treatment A) for breast cancer, along with a standard medicine (epirubicin, or EPI).  They gave one group of patients just EPI, and another group got EPI plus Treatment A.

The study looked at how much the tumors shrunk and how well the cancer went away.  They also looked at a protein called Ki67, which is a sign of how quickly cancer cells grow.

The results showed that both treatments helped shrink the tumors, but adding Treatment A didn't make a big difference in how much the tumors shrunk overall, or how often the cancer went away completely.  However, Treatment A did seem to lower the Ki67 protein more than EPI alone, which is a good thing because lower Ki67 means the cancer cells are growing slower.

The study also found that tumors with a certain protein (ER-) and higher levels of Ki67 before treatment were more likely to go away completely.

The important thing to remember is that while Treatment A might be better at lowering the growth rate of cancer cells, it didn't make the cancer go away any better than the standard treatment alone.  The study authors might be trying to make it seem like Treatment A is better than it really is.  So, we need to be careful and look at more studies to be sure.
"
