id,PMID,title,journal,abstract,abstract_type,plain_language_summary
58,10547391,"
Randomized trial of fenretinide to prevent second breast malignancy in women with early breast cancer",J Natl Cancer Inst,"Background:
Treatment A has been shown to inhibit breast carcinogenesis in preclinical studies. We determined the efficacy of treatment A in preventing a second breast malignancy in women with breast cancer.
Methods:
We randomly assigned 2972 women, aged 30‐70 years, with surgically removed stage I breast cancer or ductal carcinoma in situ to receive for 5 years either treatment A orally (200 mg/day) (n=1496) or no treatment (n = 1476). Random assignment of patients was centrally managed by the coordinating center in Milan. All women were followed by use of the same procedures throughout the study period, and the radiologists who examined the mammograms were blinded to the allocated treatment arm. The primary end point was the incidence of contralateral breast cancer or ipsilateral breast cancer 7 years after randomization. The hazards of breast cancer occurrence were determined by Cox proportional hazards regression analysis. Statistical tests were two‐sided.
Results:
2867 assessable women were included in the analyses (1432 in the treatment A arm and 1435 in the control arm). At a median observation time of 97 months, there were no statistically significant differences in the occurrence of contralateral breast cancer (65 events in the treatment A arm versus 71 in the control arm; hazard ratio [HR] = 0.92; 95% confidence interval [CI] = 0.66‐1.29; P = .642) or ipsilateral breast cancer (treatment A group = 100 events; control group = 121 events; HR = 0.83; 95% CI = 0.64‐1.09; P = .177) between the two arms. There were no statistically significant differences between the two arms in tumors in other organs (38 in the treatment A arm versus 40 in the control arm), incidence of distant metastasis (HR = 0.98; 95% CI = 0.79‐1.22; P = .858), and all‐cause mortality (HR = 1.16; 95% CI = 0.92‐1.48; P = .215).
Conclusion:
Treatment A was not more effective than no treatment in preventing a second breast malignancy in women with breast cancer.",no_spin,"Here's a summary of the passage that a fifth grader can understand:

Scientists did a big study to see if a special medicine (called Treatment A) could help prevent breast cancer from coming back in women who already had breast cancer. They gave the medicine to half of the women and didn't give it to the other half. Then, they waited to see what happened.

After a long time, they looked at the results and found out that the medicine didn't make a big difference. The women who took the medicine didn't get breast cancer again any less often than the women who didn't take the medicine.

So, the scientists concluded that the medicine isn't very helpful in preventing breast cancer from coming back. This is important to know because sometimes people might try to make the results of a study sound better than they really are, and that's not honest.

In simple terms, the study found that the medicine didn't work very well, and we should be careful not to believe everything we read or hear about studies like this."
57,10547391,"
Randomized trial of fenretinide to prevent second breast malignancy in women with early breast cancer",J Natl Cancer Inst,"Background:
Treatment A has been shown to inhibit breast carcinogenesis in preclinical studies. We determined the efficacy of treatment A in preventing a second breast malignancy in women with breast cancer.
Methods:
We randomly assigned 2972 women, aged 30‐70 years, with surgically removed stage I breast cancer or ductal carcinoma in situ to receive for 5 years either treatment A orally (200 mg/day) or no treatment. The primary end point was the incidence of contralateral breast cancer or ipsilateral breast cancer 7 years after randomization. Other end points considered post hoc were the same outcomes stratified by menopausal status, incidence of distant metastases, overall mortality, and tumors in other organs. The hazards of breast cancer occurrence were determined by Cox proportional hazards regression analysis. Statistical tests were two‐sided.
Results:
At a median observation time of 97 months, there were no statistically significant differences in the occurrence of contralateral breast cancer (P =.642) or ipsilateral breast cancer (P =.177) between the two arms. However, an interaction was detected between treatment A and menopausal status in both outcomes (P for interaction in both outcomes =.045), with a possible beneficial effect in premenopausal women (contralateral breast cancer: adjusted hazard ratio [HR] = 0.66, and 95% confidence interval [CI] = 0.41‐1.07; ipsilateral breast cancer: adjusted HR = 0.65, and 95% CI = 0.46‐0. 92) and an opposite effect in postmenopausal women (contralateral breast cancer: adjusted HR = 1.32, and 95% CI = 0.82‐2.15; ipsilateral breast cancer: adjusted HR = 1.19, and 95% CI = 0.75‐1. 89). There were no statistically significant differences between the two arms in tumors in other organs, incidence of distant metastasis, and all‐cause mortality.
Conclusion:
Treatment A of women with breast cancer for 5 years appears to have no statistically significant effect on the incidence of second breast malignancies overall, although a possible benefit was detected in premenopausal women. These studies, particularly the post hoc analyses, are considered exploratory and need to be confirmed.",spin,"Here's a summary of the passage that a fifth grader can understand:

Scientists did a study to see if a special medicine (called Treatment A) could help prevent breast cancer from coming back in women who already had breast cancer. They gave the medicine to some women and not to others, and then they watched to see what happened over time.

What they found out was that the medicine didn't seem to make a big difference overall. But, they did notice that it might be helpful for younger women (who haven't gone through menopause yet). For older women (who have gone through menopause), the medicine might actually do more harm than good.

The scientists are saying that we need to be careful when we look at the results of this study because it's possible that they're not telling the whole story. Sometimes, scientists can make their results sound more exciting or important than they really are, and that's not honest.

So, the main idea is that the medicine didn't work as well as they hoped, but it might be helpful for some younger women. We just need to be careful when we look at the results and make sure we're not getting a biased view."
46,10637238,"Comparison of chemotherapy with chemohormonal therapy as first-line therapy for metastatic, hormone-sensitive breast cancer: An Eastern Cooperative Oncology Group study",J Clin Oncol,"Purpose:
It is uncertain whether treatment A provides additional benefit compared with chemotherapy alone. This trial was initiated to explore this question.
Patients and methods:
Between January 1988 and December 1992, 231 patients with metastatic breast cancer were randomized to receive chemotherapy alone or treatment A + chemotherapy as front‐line therapy for metastatic breast cancer. Patients who experienced a complete response to induction therapy either received or did not receive maintenance treatment as a secondary randomization. The two end points of interest for this study were time to treatment failure (TTF) and survival time.
Results:
Median survival was 30.0 months for chemotherapy alone and 29.3 months treatment A and chemotherapy, p=0.834. Time to treatment failure (TTF) was 13.4 months for patients who received treatment A + chemotherapy compared with 10.3 month for chemotherapy alone patients (P = .087). The response rates (complete response and partial response) was 69.2% of for patients who received chemotherapy alone and 68.9% for patients who received treatment A + chemotherapy, P =.99. There was no significant difference in toxicities seen between the two arms of the study. There were four lethal toxicities. Three infectious deaths occurred in patients receiving treatment A with chemotherapy.
Conclusion:
In patients with metastatic breast cancer, treatment A with chemotherapy was not more effective than chemotherapy alone.",no_spin,"Here's a summary of the passage that a fifth grader can understand:

This is a study about a new way to treat breast cancer. The researchers wanted to see if adding a special treatment (called ""treatment A"") to the usual chemotherapy would help people with breast cancer live longer or get better faster.

They tested this on 231 people with breast cancer and divided them into two groups: one group got the usual chemotherapy, and the other group got the chemotherapy plus treatment A. They then looked at how long it took for the cancer to come back and how long the people lived.

What they found out was that adding treatment A didn't make a big difference. The people who got treatment A and chemotherapy didn't live longer or get better faster than the people who just got chemotherapy. They also didn't find any big differences in how many people got better or how many people had bad side effects.

So, the conclusion is that adding treatment A to chemotherapy doesn't really help people with breast cancer. The study is important because it helps doctors and researchers understand what works and what doesn't, and it can help them make better decisions about how to treat people with breast cancer in the future."
45,10637238,"Comparison of chemotherapy with chemohormonal therapy as first-line therapy for metastatic, hormone-sensitive breast cancer: An Eastern Cooperative Oncology Group study",J Clin Oncol,"Purpose:
It is uncertain whether treatment A provides additional benefit compared with chemotherapy alone. This trial was initiated to explore this question.
Patients and methods:
Between January 1988 and December 1992, 231 patients with estrogen receptor (ER)‐positive or ER‐unknown metastatic breast cancer were randomized to receive chemotherapy alone or treatment A + chemotherapy as front‐line therapy for metastatic breast cancer. Patients who experienced a complete response to induction therapy either received or did not receive maintenance treatment as a secondary randomization.
Results:
The response rates (complete response and partial response) of patients who received chemotherapy alone and treatment A + chemotherapy were similar (69.2% v 68.9%, respectively; P =.99). Time to treatment failure (TTF) was slightly longer for patients who received treatment A + chemotherapy compared with chemotherapy alone patients (13.4 months v 10.3 months, respectively; P =.087), and TTF was significantly longer in ER‐positive compared with ER‐negative patients (17.4 months v 10.3 months, respectively; P =.048). However, ER status had no effect on overall survival (30.0 months for chemotherapy alone v 29.3 months for treatment A + chemotherapy).
Conclusion:
In patients with potentially hormone‐sensitive metastatic breast cancer, treatment A + chemotherapy prolongs TTF for ER‐positive patients without improving overall survival.",spin,"I'd be happy to help you explain this passage to your fifth grader.

This passage is about a study that looked at two different ways to treat a type of cancer called breast cancer. The researchers wanted to see if adding a special treatment (called ""treatment A"") to the usual chemotherapy would make a difference in how well the patients did.

They looked at 231 patients who had breast cancer that had spread to other parts of their body. They divided the patients into two groups: one group got just chemotherapy, and the other group got chemotherapy plus treatment A.

The results showed that both groups had similar numbers of patients who got better (about 69% in both groups). However, the group that got treatment A plus chemotherapy took a little longer to get worse again (about 3 months longer). But, sadly, it didn't make a difference in how long the patients lived overall.

So, the main finding of the study is that adding treatment A to chemotherapy might help some patients with a certain type of breast cancer feel better for a little longer, but it doesn't change how long they live.

I hope that helps! Let me know if you or your fifth grader have any further questions."
27,11261827,Phase III randomized trial of toremifene vs tamoxifen in hormonodependant advanced breast cancer,Breast Cancer Res Treat,"Purpose:
Efficacy and safety of treatment A was compared with comparator B in a group of postmenopausal women with advanced breast cancer, without previous systemic therapy for advanced breast cancer.
Methods and materials:
The study was a prospective double‐blind randomized trial. All treated patients presented with positive estrogen receptors. Main end points were response rates, toxicity profile analysis, time to progression and survival. WHO and ECOG criteria were employed for response evaluation while toxicity was assessed according to WHO guidelines. Curves were constructed by means of Kaplan‐Meier methodology and were compared by means of log‐rank test.
Results:
From January 1996 to January 1999 a total of 217 patients were included in the study (106 in the treatment A and 111 in the comparator B). Both groups of patients were homogeneous regarding the main prognostic factors. A response rate of 64% (68/106) was observed in the treatment A group as compared with a 52% (58/111) in the comparator B group. Median times to progression and overall survival were not significantly different. A lower incidence of undesirable effects was appreciated in the treatment A arm.
Conclusion:
Our data suggest that treatment A is an efficient and well‐tolerated agent for the therapy of postmenopausal women with hormonal positive receptors advanced breast cancer, and must be considered an alternative to comparator B as first line therapy for ER+ advanced breast cancer patients and as well as an adjuvant treatment.",spin,"I'd be happy to help you explain this passage to your fifth grader.

This passage is about a study that compared two different treatments for breast cancer in women who have gone through menopause. The researchers wanted to see which treatment was better and safer.

Here's what they did:

* They chose 217 women with breast cancer and divided them into two groups. One group got treatment A, and the other group got treatment B.
* They looked at how well each treatment worked and how many bad side effects each group had.
* They found out that treatment A worked a little better than treatment B, and it also had fewer bad side effects.

So, what does this mean? It means that treatment A might be a good choice for women with breast cancer who have gone through menopause. It seems to work well and doesn't have as many bad side effects as treatment B.

The last part of the passage is talking about how sometimes people might make a study sound better than it really is by only telling part of the truth. But in this case, the study seems to be honest and trustworthy.

I hope that helps! Let me know if you or your fifth grader have any other questions."
28,11261827,Phase III randomized trial of toremifene vs tamoxifen in hormonodependant advanced breast cancer,Breast Cancer Res Treat,"Purpose:
Efficacy and safety of treatment A was compared with comparator B in a group of postmenopausal women with advanced breast cancer, without previous systemic therapy for advanced breast cancer.
Methods and materials:
The study was a prospective double‐blind randomized trial. All treated patients presented with positive estrogen receptors. Main end points were response rates, toxicity profile analysis, time to progression and survival. WHO and ECOG criteria were employed for response evaluation while toxicity was assessed according to WHO guidelines. Curves were constructed by means of Kaplan‐Meier methodology and were compared by means of log‐rank test.
Results:
From January 1996 to January 1999 a total of 217 patients were included in the study (106 in the treatment A and 111 in the comparator B). Both groups of patients were homogeneous regarding the main prognostic factors. Response rates were not statistically different between the two therapeutic arms. A response rate of 64% (68/106) was observed in the treatment A group as compared with a 52% (58/111) in the comparator B group. Median times to progression (hazard ratios (HR) = 1.016; 95% CI 0.80‐1.32; p=0.823) and overall survival (HR = 0.97 (95% CI 0.74‐1.29; p=0.532) were not statistically significantly different. A lower incidence of undesirable effects was appreciated in the treatment A arm.
Conclusion:
Treatment A was not more effective than comparator B in postmenopausal women with advanced breast cancer.",no_spin,"Here's a summary of the passage that a fifth grader can understand:

This is a study about a medicine that helps people with a kind of cancer called breast cancer. The researchers wanted to see if this medicine (called Treatment A) was better than another medicine (called Comparator B) in helping people with breast cancer who are past menopause (meaning they're not having periods anymore).

They looked at 217 people with breast cancer and gave half of them Treatment A and the other half Comparator B. They then checked to see how well each medicine worked and if it had any bad side effects.

What they found out was that both medicines worked about the same, and neither one was significantly better than the other. However, Treatment A had fewer bad side effects than Comparator B.

So, the main conclusion is that Treatment A is not better than Comparator B in helping people with breast cancer who are past menopause.

I hope this helps! Let me know if you or your fifth grader have any further questions."
34,12177098,"Double-blind, randomized trial comparing the efficacy and tolerability of fulvestrant versus anastrozole in postmenopausal women with advanced breast cancer progressing on prior endocrine therapy: results of a North American trial",J Clin Oncol,"Purpose:
To compare the efficacy and tolerability of treatment A with comparator B in the treatment of advanced breast cancer in patients whose disease progresses on prior endocrine treatment.
Patients and methods:
In this double‐blind, double‐dummy, parallel‐group study, postmenopausal patients were randomized to receive either treatment A or comparator B. The primary end point was time to progression (TTP). Secondary end points included time to treatment failure (TTF), objective response (OR) rate, duration of response (DOR), and tolerability.
Results:
Patients (n = 400) were followed for a median period of 16.8 months. Treatment A was not more effective than comparator B in terms of TTP (hazard ratio, 0.92; 95% confidence interval [CI], 0.74 to 1.14; P =.43); median TTP was 5.4 months with treatment A and 3.4 months with comparator B. There was no statistically significant difference between the 2 groups for TTF. Median TTF was 4.6 months for treatment A and 3.3 months for comparator B (HR, 0.96; 95% CI, 0.77 to 1.19; P = .69). At the time of this data analysis, the rate of deaths was respectively for treatment A and comparator B, 35.4% (n=73) vs. 33.5% (n=65). OR rates were 17.5% with both treatments. DOR was statistically significantly greater for treatment A compared with comparator B; the ratio of average response durations was 1.35 (95% CI, 1.10 to 1.67; P < 0.01). Both treatments were well tolerated.
Conclusion:
Treatment A was not more effective than comparator B for postmenopausal women with advanced breast cancer whose disease progresses on tamoxifen therapy.",no_spin,"I'd be happy to help you summarize the passage in a way that a fifth grader can understand.

The passage is talking about a study that compared two different treatments for breast cancer in women who have already gone through menopause. The researchers wanted to see which treatment was better at helping these women.

They looked at 400 women and gave them either Treatment A or Treatment B. They then checked how long it took for the cancer to get worse again. They also looked at how well the treatments worked, how long the women responded to the treatments, and if the treatments had any bad side effects.

What they found out was that Treatment A and Treatment B were pretty much the same in terms of how well they worked. They both helped the women for a similar amount of time, and they both had similar side effects. The only difference was that Treatment A seemed to work a little bit longer than Treatment B, but not by much.

So, the conclusion is that Treatment A is not really better than Treatment B for women with breast cancer who have already gone through menopause.

I hope that helps! Let me know if you or your fifth grader have any further questions."
33,12177098,"Double-blind, randomized trial comparing the efficacy and tolerability of fulvestrant versus anastrozole in postmenopausal women with advanced breast cancer progressing on prior endocrine therapy: results of a North American trial",J Clin Oncol,"Purpose:
To compare the efficacy and tolerability of treatment A with comparator B in the treatment of advanced breast cancer in patients whose disease progresses on prior endocrine treatment.
Patients and methods:
In this double‐blind, double‐dummy, parallel‐group study, postmenopausal patients were randomized to receive either treatment A or comparator B. The primary end point was time to progression (TTP). Secondary end points included objective response (OR) rate, duration of response (DOR), and tolerability.
Results:
Patients (n = 400) were followed for a median period of 16.8 months. Treatment A was as effective as comparator B in terms of TTP (hazard ratio, 0.92; 95% confidence interval [CI], 0.74 to 1.14; P =.43); median TTP was 5.4 months with treatment A and 3.4 months with comparator B. OR rates were 17.5% with both treatments. Clinical benefit rates (complete response + partial response + stable disease > or = 24 weeks) were 42.2% for treatment A and 36.1% for comparator B (95% CI, ‐4.00% to 16.41%; P =.26). In responding patients, median DOR (from randomization to progression) was 19.0 months for treatment A and 10.8 months for comparator B. Using all patients, DOR was significantly greater for treatment A compared with comparator B; the ratio of average response durations was 1.35 (95% CI, 1.10 to 1.67; P < 0.01). Both treatments were well tolerated.
Conclusion:
Treatment A was at least as effective as comparator B, with efficacy end points slightly favoring treatment A. Treatment A represents an additional treatment option for postmenopausal women with advanced breast cancer whose disease progresses on tamoxifen therapy.",spin,"I'd be happy to help you summarize the passage for your fifth grader.

This passage is about a study that compared two different treatments for breast cancer in women who have gone through menopause. The researchers wanted to see which treatment was better at helping these women.

They gave one group of women Treatment A and another group Treatment B. They then looked at how long it took for the cancer to start growing again in each group. They also looked at how many women's cancer got better or stayed the same with each treatment.

What they found out was that both treatments were about the same in terms of how long it took for the cancer to start growing again. But, Treatment A was a little better at making the cancer go away or stay away for a longer time.

The good news is that both treatments were safe and didn't have many bad side effects. This means that doctors now have another option to consider when treating women with breast cancer who have gone through menopause.

So, in simple terms, the study was trying to find out which treatment was better for women with breast cancer, and they found that one treatment was a little better at making the cancer go away for a longer time, but both treatments were safe and worked about the same."
12,15947110,Cytotoxic and antiproliferative activity of the single agent epirubicin versus epirubicin plus tamoxifen as primary chemotherapy in human breast cancer: a single-institution phase III trial,Endocr Relat Cancer,"This study was designed to address whether treatment A with chemotherapy provides additional activity compared with chemotherapy alone in breast cancer patients with operable or locally advanced disease. Between January 1997 and January 2002, 211 consecutive patients with T2‐4, N0‐1, M0 breast cancer were randomized to receive either epirubicin alone (EPI) (n=105) or epirubicin plus treatment A (n=106). The primary outcome was the overall response rate. Overall, 198 patients received the planned chemotherapy dose (99 patients (94.2%) in the EPI arm and 99 patients (93.4%) in the EPI+treatment A arm). There was no statistically significant difference in overall response rate between the two treatment arms (76 versus 82% in the EPI and EPI+treatment A arms respectively). Pathological complete response was documented respectively in EPI and EPI+treatment A in 5 (4.8%) and 7 (6.7%) patients, and respectively 3 (2.9%) and 6 (5.7%) patients had carcinoma in situ. Toxicity did not differ from that expected with epirubicin. Leukopenia was the most relevant side effect, with about 50% of patients experiencing grade III‐IV toxicity in both arms. Platelet toxicity was uncommon and mild. Grade II‐III hemoglobin was observed in 15% of patients. Diarrhea and mucositis from mild to moderate occurred in 10% of patients. Acute cardiac toxicity was absent in both arms. All these side effects, attributable to epirubicin, were equally distributed in both arms. Treatment A with chemotherapy was not more effective than chemotherapy alone in breast cancer patients with operable or locally advanced disease.",no_spin,"Here's a summary of the passage that a fifth grader can understand:

This study was about testing two different ways to treat breast cancer. Breast cancer is a kind of sickness that grows in the breast. The researchers wanted to see if adding a special treatment (called ""treatment A"") to a medicine called chemotherapy would make the cancer go away better than just using chemotherapy alone.

They tested this on 211 people who had breast cancer. Half of them got chemotherapy alone, and the other half got chemotherapy plus treatment A. They looked at how well the cancer went away in both groups.

What they found out was that adding treatment A didn't make the cancer go away any better than just using chemotherapy alone. Both groups had about the same number of people who got better. They also looked at the bad side effects of the medicine, like feeling sick or getting infections, and found that both groups had about the same amount of those problems too.

So, the researchers concluded that adding treatment A to chemotherapy didn't help make the cancer go away any better. This study is important because it helps doctors know what treatments work best for people with breast cancer.

I hope this helps! Let me know if you or your fifth grader have any further questions."
11,15947110,Cytotoxic and antiproliferative activity of the single agent epirubicin versus epirubicin plus tamoxifen as primary chemotherapy in human breast cancer: a single-institution phase III trial,Endocr Relat Cancer,"This study was designed to address whether treatment A with chemotherapy provides additional activity compared with chemotherapy alone in breast cancer patients with operable or locally advanced disease. Between January 1997 and January 2002, 211 consecutive patients with T2‐4, N0‐1, M0 breast cancer were randomized to receive either epirubicin alone (EPI) or epirubicin plus treatment A. Ki67 expression was evaluated immunohistochemically in tumor specimens obtained before chemotherapy by incision biopsy and at definitive surgery. Tumor shrinkage of >50% was obtained in 76% of patients randomized in the EPI arm and 81.9% of patients randomized in the EPI+treatment A arm (not significant). The corresponding rates of clinical and pathological complete response were 20.2 and 21.9% (not significant), and 4.8 and 6.7% (not significant), respectively. Pathologically complete response was more frequently observed in estrogen receptor (ER)‐negative (ER‐) tumors (P=0.04) and correlated with elevated baseline Ki67 expression (P<0.01). Both EPI treatment and EPI+treatment A resulted in a significant reduction in Ki67 expression, either in overall patients (P=0.000) or in patients with ER+ breast cancer (P=0.000). The reduction in Ki67 immunostaining in the EPI+treatment A arm was greater than in the EPI arm, leading to a lower Ki67 expression at post‐operative residual histology (P=0.0041). The addition of treatment A to epirubicin chemotherapy did not improve the response rate but led to a significantly higher reduction in the Ki67 expression. Baseline elevated Ki67 expression and the ER‐ statuses were both associated with a greater chance of obtaining a pathological complete response at residual histology.",spin,"I'd be happy to help you summarize the passage for your fifth grader.

This study was about testing two different ways to treat breast cancer. Breast cancer is a type of sickness that grows in the breast. The researchers wanted to see if adding a special treatment (called ""treatment A"") to a medicine called chemotherapy would make the cancer go away better.

They looked at 211 people with breast cancer and divided them into two groups. One group got just the chemotherapy, and the other group got the chemotherapy plus the special treatment A. They then looked at how well the cancer responded to the treatment.

What they found out was that adding treatment A didn't make the cancer go away any better than just using chemotherapy alone. But, it did make the cancer cells grow slower. They also found out that if the cancer cells were growing really fast to begin with, the treatment A helped make them grow even slower.

So, the study didn't find that treatment A made the cancer go away better, but it did help slow down the growth of the cancer cells. That's the main idea of the study!

Does that make sense to your fifth grader?"
