id,abstract,data_split,pmid,pmcid,title,intervention_treatment,primary_outcome,primary_outcome_result,note
1,"ABSTRACT.BACKGROUND:
Metabolic syndrome is a cluster of common cardiovascular risk factors that includes hypertension and insulin resistance. Hypertension and diabetes mellitus are frequent comorbidities and, like metabolic syndrome, increase the risk of cardiovascular events. Telmisartan, an antihypertensive agent with evidence of partial peroxisome proliferator-activated receptor activity-gamma (PPARγ) activity, may improve insulin sensitivity and lipid profile in patients with metabolic syndrome.

ABSTRACT.METHODS:
In a double-blind, parallel-group, randomized study, patients with World Health Organization criteria for metabolic syndrome received once-daily doses of telmisartan (80 mg, n = 20) or losartan (50 mg, n = 20) for 3 months. At baseline and end of treatment, fasting and postprandial plasma glucose, insulin sensitivity, glycosylated haemoglobin (HBA1c) and 24-hour mean systolic and diastolic blood pressures were determined.

ABSTRACT.RESULTS:
Telmisartan, but not losartan, significantly (p &lt; 0.05) reduced free plasma glucose, free plasma insulin, homeostasis model assessment of insulin resistance and HbAic. Following treatment, plasma glucose and insulin were reduced during the oral glucose tolerance test by telmisartan, but not by losartan. Telmisartan also significantly reduced 24-hour mean systolic blood pressure (p &lt; 0.05) and diastolic blood pressure (p &lt; 0.05) compared with losartan.

ABSTRACT.CONCLUSION:
As well as providing superior 24-hour blood pressure control, telmisartan, unlike losartan, displayed insulin-sensitizing activity, which may be explained by its partial PPARγ activity.",TEST,15892894,1174877,Metabolic effect of telmisartan and losartan in hypertensive patients with metabolic syndrome.,,,,
2,"ABSTRACT.
Thalassemia is the commonest single gene disorder in India. About 10,000 infants with Thalassemia major are born every year. The present study was under taken with a hope to prevail better quality of life to the Thalassemic patients. Pallor being the chief complaint, a randomized controlled trial was undertaken with Dhatri Avaleha as it is specially mentioned for Pandu, Kamala & Haleemaka Roga. Children between age group of 1 to 15 years were randomly divided in two groups: Drug treated group (Group A) and Control group (Group B). Assessment was done on subjective and objective parameters after 30 and 60 days of treatment with follow up of two month. Statistically significant (P&lt;0.01) result was obtained in Blood transfusion interval in group 'A' in comparison to group 'B'. Dhatri Avaleha may have a potential to increase blood transfusion interval and decrease secondary infection and thus it can be used as supportive therapy with modern medical management.",TEST,22131679,3215316,Evaluation of Dhatri Avaleha as adjuvant therapy in Thalassemia (Anukta Vyadhi in Ayurveda).,,,,
3,"ABSTRACT.BACKGROUND:
Nasal insufflation of CO2 has been shown to exert antinociceptive respectively antihyperalgesic effects in animal pain models using topical capsaicin with activation of TRPV1-receptor positive nociceptive neurons. Clinical benefit from CO2 inhalation in patients with craniofacial pain caused by a putative activation of TRPV1 receptor positive trigeminal neurons has also been reported. These effects are probably mediated via an activation of TRPV1 receptor - positive neurons in the nasal mucosa with subsequent central inhibitory effects (such as conditioned pain modulation). In this study, we aimed to examine the effects of intranasal CO2 on a human model of craniofacial pain elicited by nasal application of capsaicin.

ABSTRACT.METHODS:
In a first experiment, 48 healthy volunteers without previous craniofacial pain received intranasal capsaicin to provoke trigeminal pain elicited by activation of TRVP1 positive nociceptive neurons. Then, CO2 or air was insufflated alternatingly into the nasal cavity at a flow rate of 1 l/min for 60 sec each. In the subsequent experiment, all participants were randomized into 2 groups of 24 each and received either continuous nasal insufflation of CO2 or placebo for 18:40 min after nociceptive stimulation with intranasal capsaicin. In both experiments, pain was rated on a numerical rating scale every 60 sec.

ABSTRACT.RESULTS:
Contrary to previous animal studies, the effects of CO2 on experimental trigeminal pain were only marginal. In the first experiment, CO2 reduced pain ratings only minimally by 5.3% compared to air if given alternatingly with significant results for the main factor GROUP (F1,47 = 4.438; p = 0.041) and the interaction term TIME*GROUP (F2.6,121.2 = 3.3; p = 0.029) in the repeated-measures ANOVA. However, these effects were abrogated after continuous insufflation of CO2 or placebo with no significant changes for the main factors or the interaction term.

ABSTRACT.CONCLUSIONS:
Although mild modulatory effects of low-flow intranasal CO2 could be seen in this human model of TRPV-1 mediated activation of nociceptive trigeminal neurons, utility is limited as observed changes in pain ratings are clinically non-significant.",TEST,23574808,3630066,No relevant modulation of TRPV1-mediated trigeminal pain by intranasal carbon dioxide in healthy humans.,,,,
4,"ABSTRACT.OBJECTIVE.
There are controversial findings in the literature on the effects of chest physiotherapy on postextubation lung collapse in pediatric age group.  Therefore, we aimed to investigate the efficacy of chest physiotherapy in prevention of postextubation atelectasis in pediatric patients.

ABSTRACT.MATERIALS & METHODS.
In a case-control study from March 2007 to March 2011, two groups of patients (35 patients in each group) susceptible to lung collapse were enrolled in the study. The studied patients had neuromuscular diseases such as spinal muscular atrophy, Guillain-Barre syndrome, critical illness polyneuropathy/myopathy, and cerebral palsy. The patients were randomly divided into two groups (case and control); The case group underwent daily chest physiotherapy through vibrator and chest percussion and the control group was under supervision. In the latter group, the underlying disease was treated and the lung collapse was managed, if occurred.

ABSTRACT.RESULTS.
The frequency of atelectasis was lower in the case group who received prophylactic chest physiotherapy compared to the control group (16.6% vs. 40%).

ABSTRACT.CONCLUSION.
Chest physiotherapy as well as appropriate and regular change of position can considerably reduce the rate of pulmonary collapse in pediatric patients.",TEST,24665285,3943081,The role of chest physiotherapy in prevention of postextubation atelectasis in pediatric patients with neuromuscular diseases.,,,,
5,"ABSTRACT.PURPOSE:
To evaluate the analgesic effect, efficacy and safety of aceclofenac controlled release (CR) in patients with chronic knee osteoarthritis (OA).

ABSTRACT.MATERIALS AND METHODS:
A total of 125 subjects with chronic knee OA were randomly divided into two groups: one group (n=62) was administered aceclofenac CR once daily and the other (n=63), aceclofenac immediate release (IR) twice a day for 4 weeks. A 100-mm visual analogue scale (VAS), Knee injury and Osteoarthritis Outcome Score (KOOS) and range of motoin (ROM) were evaluated as the outcome measures. To evaluate the safety of the drug, adverse events, vital signs, physical examination findings, clinical laboratory values and electrocardiographic findings were evaluated.

ABSTRACT.RESULTS:
The VAS, KOOS and ROM were improved after 4 weeks of administration in both groups, but the differences between the two groups were not statistically significant. Significant differences between the two groups were not shown in the evaluation of the adverse events, vital sign, physical examination results, clinical laboratory values, and electrocardiography.

ABSTRACT.CONCLUSIONS:
The aceclofenac CR and aceclofenac IR were equally effective in patients with chronic knee OA and the clinical trial results didn't show any significant difference in safety. The new aceclofenac CR formulation was found to be effective and safe with the practical advantage of once daily administration.",TEST,24639945,3953523,"Efficacy and Safety of Aceclofenac Controlled Release in Patients with Knee Osteoarthritis: A 4-week, Multicenter, Randomized, Comparative Clinical Study.",,,,
6,"ABSTRACT.PURPOSE.
A link between poor sleep quality and Alzheimer's disease (AD) has recently been suggested. Since endogenous melatonin levels are already reduced at preclinical AD stages, it is important to ask whether replenishing the missing hormone would be beneficial in AD and whether any such effects would be related to the presence of sleep disorder in patients.

ABSTRACT.PATIENTS AND METHODS.
The effects of add-on prolonged-release melatonin (PRM) (2 mg) to standard therapy on cognitive functioning and sleep were investigated in 80 patients (men [50.7%], women [49.3%], average age 75.3 years [range, 52–85 years]) diagnosed with mild to moderate AD, with and without insomnia comorbidity, and receiving standard therapy (acetylcholinesterase inhibitors with or without memantine). In this randomized, double-blind, parallel-group study, patients were treated for 2 weeks with placebo and then randomized (1:1) to receive 2 mg of PRM or placebo nightly for 24 weeks, followed by 2 weeks placebo. The AD Assessment Scale–Cognition (ADAS-Cog), Instrumental Activities of Daily Living (IADL), Mini–Mental State Examination (MMSE), sleep, as assessed by the Pittsburgh Sleep Quality Index (PSQI) and a daily sleep diary, and safety parameters were measured.

ABSTRACT.RESULTS.
Patients treated with PRM (24 weeks) had significantly better cognitive performance than those treated with placebo, as measured by the IADL (P=0.004) and MMSE (P=0.044). Mean ADAS-Cog did not differ between the groups. Sleep efficiency, as measured by the PSQI, component 4, was also better with PRM (P=0.017). In the comorbid insomnia (PSQI ≥6) subgroup, PRM treatment resulted in significant and clinically meaningful effects versus the placebo, in mean IADL (P=0.032), MMSE score (+1.5 versus −3 points) (P=0.0177), and sleep efficiency (P=0.04). Median ADAS-Cog values (−3.5 versus +3 points) (P=0.045) were significantly better with PRM. Differences were more significant at longer treatment duration. PRM was well tolerated, with an adverse event profile similar to that of placebo.

ABSTRACT.CONCLUSION.
Add-on PRM has positive effects on cognitive functioning and sleep maintenance in AD patients compared with placebo, particularly in those with insomnia comorbidity. The results suggest a possible causal link between poor sleep and cognitive decline.",TEST,24971004,4069047,"Add-on prolonged-release melatonin for cognitive function and sleep in mild to moderate Alzheimer's disease: a 6-month, randomized, placebo-controlled, multicenter trial.",,,,
7,"ABSTRACT.BACKGROUND:.
The aim of this study is to compare and evaluate the clinical outcome of the envelope-type of coronally advanced flap (CAF) alone versus envelope type of coronally advanced flap plus type I collagen membrane (NEOMEM) in the treatment of multiple buccal gingival recessions, using the split mouth study.

ABSTRACT.MATERIALS AND METHODS:.
Ten patients in the age group of 20-50 years showing bilateral gingival recessions were treated. The defects in each patient were randomly assigned as Group A, which were treated with the envelope type of CAF, and those in Group B were treated with envelope type of CAF along with the Type I collagen membrane (NEOMEM). The recession depth (RD), probing depth (PD), clinical attachment level (CAL), and width of the keratinized tissue (KT) were measured at baseline, at three and six month intervals.

ABSTRACT.RESULTS:.
Forty-six Miller's class I and II gingival recessions were treated. In the CAF + Type I collagen membrane (NEOMEM)-treated (Group B) sites the baseline gingival recession was 2.34 ± 0.48 mm, while in the CAFtreated (Group A) sites it was 2.52 ± 0.84 mm. Both the treatments resulted in significant recession depth reduction (P &lt; 0.001), but the reduction was significantly greater (P &lt; 0.01) for Group B than Group A. The probing depth changes were significant (P &lt; 0.01) for both groups, but the difference was nonsignificant. Similarly, a significant gain of CAL was seen in Group B (2.23 ± 0.75 mm, P &lt; 0.001) as well as in group A (1.60 ± 0.86 mm, P &lt; 0.001) showing a significant difference (P &lt; 0.01) between the two groups. The width of keratinized tissue was also significantly (P &lt; 0.001) increased in both groups, but the increase was significantly greater (P &lt; 0.001) in group B (2.30 ± 1.06 mm) than in group A (1.21 ± 0.67 mm).

ABSTRACT.CONCLUSION:.
The envelope type of CAF along with Type I collagen membrane (NEOMEM) was more effective than envelope type of CAF alone, in producing root coverage in multiple gingival recession defects, associated with gain in CAL as also in the width of KT.",TEST,25565752,4260384,Comparative evaluation of envelope type of advanced flap with and without type I collagen membrane (NEOMEM) in the treatment of multiple buccal gingival recession defects: A clinical study.,,,,
8,"ABSTRACT.OBJECTIVES.
To evaluate the effect of certolizumab pegol (CZP) on productivity outside and within the home, and on participation in family, social and leisure activities in adult patients with psoriatic arthritis (PsA).

ABSTRACT.METHODS.
RAPID-PsA (NCT01087788) is a phase 3, double-blind, placebo-controlled trial. 409 patients with active PsA were randomised 1:1:1 to placebo, CZP 200 mg every 2 weeks (Q2W) or CZP 400 mg every 4 weeks (Q4W). The arthritis-specific Work Productivity Survey (WPS) assessed the impact of PsA on paid work and household productivity, and participation in social activities during the preceding month. WPS responses were compared between treatment arms using a non-parametric bootstrap-t method.

ABSTRACT.RESULTS.
At baseline, 56.6%, 60.1% and 61.5% of placebo, CZP 200 mg Q2W and CZP 400 mg Q4W patients were employed. By week 24, employed CZP patients reported an average of 1.0–1.8 and 3.0–3.9 fewer days of absenteeism and presenteeism, respectively, per month compared with 1.0 and 0.3 fewer days for placebo patients (p&lt;0.05). Within the home, by week 24, CZP patients reported an average of 3.0–3.5 household work days gained per month versus 1.0 day for placebo (p&lt;0.05). CZP patients also reported fewer days with reduced household productivity or days lost for participation in family, social and leisure activities. Improvements with CZP were seen as early as week 4 and continued to week 24.

ABSTRACT.CONCLUSIONS.
CZP treatment significantly improved productivity at paid work and within the home, and resulted in greater participation in social activities for PsA patients.

ABSTRACT.TRIAL REGISTRATION NUMBER.
NCT01087788.",TEST,24942382,4283690,"Improvements in productivity at paid work and within the household, and increased participation in daily activities after 24 weeks of certolizumab pegol treatment of patients with psoriatic arthritis: results of a phase 3 double-blind randomised placebo-controlled study.",,,,
9,"ABSTRACT.
Reinforcement signals in the striatum are known to be crucial for mediating the subjective rewarding effects of acute drug intake. It is proposed that these effects may be more involved in early phases of drug addiction, whereas negative reinforcement effects may occur more in later stages of the illness. This study used resting-state functional magnetic resonance imaging to explore whether acute heroin substitution also induced positive reinforcement effects in striatal brain regions of protracted heroin-maintained patients. Using independent component analysis and a dual regression approach, we compared resting-state functional connectivity (rsFC) strengths within the basal ganglia/limbic network across a group of heroin-dependent patients receiving both an acute infusion of heroin and placebo and 20 healthy subjects who received placebo only. Subsequent correlation analyses were performed to test whether the rsFC strength under heroin exposure correlated with the subjective rewarding effect and with plasma concentrations of heroin and its main metabolites morphine. Relative to the placebo treatment in patients, heroin significantly increased rsFC of the left putamen within the basal ganglia/limbic network, the extent of which correlated positively with patients' feelings of rush and with the plasma level of morphine. Furthermore, healthy controls revealed increased rsFC of the posterior cingulate cortex/precuneus in this network relative to the placebo treatment in patients. Our results indicate that acute heroin substitution induces a subjective rewarding effect via increased striatal connectivity in heroin-dependent patients, suggesting that positive reinforcement effects in the striatum still occur after protracted maintenance therapy.",TEST,25803496,4354356,Increased functional connectivity in the resting-state basal ganglia network after acute heroin substitution.,,,,
10,"ABSTRACT.PURPOSE.
To prospectively compare SIRT and DEB-TACE for treating hepatocellular carcinoma (HCC).

ABSTRACT.METHODS.
From 04/2010–07/2012, 24 patients with histologically proven unresectable N0, M0 HCCs were randomized 1:1 to receive SIRT or DEB-TACE. SIRT could be repeated once in case of recurrence; while, TACE was repeated every 6 weeks until no viable tumor tissue was detected by MRI or contraindications prohibited further treatment. Patients were followed-up by MRI every 3 months; the final evaluation was 05/2013.

ABSTRACT.RESULTS.
Both groups were comparable in demographics (SIRT: 8males/4females, mean age 72 ± 7 years; TACE: 10males/2females, mean age 71 ± 9 years), initial tumor load (1 patient ≥25 % in each group), and BCLC (Barcelona Clinic Liver Cancer) stage (SIRT: 12×B; TACE 1×A, 11×B). Median progression-free survival (PFS) was 180 days for SIRT versus 216 days for TACE patients (p = 0.6193) with a median TTP of 371 days versus 336 days, respectively (p = 0.5764). Median OS was 592 days for SIRT versus 788 days for TACE patients (p = 0.9271). Seven patients died in each group. Causes of death were liver failure (n = 4 SIRT group), tumor progression (n = 4 TACE group), cardiovascular events, and inconclusive (n = 1 in each group).

ABSTRACT.CONCLUSIONS.
No significant differences were found in median PFS, OS, and TTP. The lower rate of tumor progression in the SIRT group was nullified by a greater incidence of liver failure. This pilot study is the first prospective randomized trial comparing SIRT and TACE for treating HCC, and results can be used for sample size calculations of future studies.",TEST,25373796,4355443,Randomized comparison of selective internal radiotherapy (SIRT) versus drug-eluting bead transarterial chemoembolization (DEB-TACE) for the treatment of hepatocellular carcinoma.,,,,
